"cor.cor";"mse.1";"description"
"105";0.623501370976594;0.4691580850849;"target~ embeddings_sum + embeddings_pca + common_word_proportion + uncommon_word_proportion"
"106";0.623852797118425;0.468523855331832;"target~ embeddings_sum + embeddings_pca + common_word_proportion + antonym"
"107";0.623852797118425;0.468523855331832;"target~ embeddings_sum + embeddings_pca + uncommon_word_proportion + antonym"
"108";0.565951100856873;0.619254405137236;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion"
"109";0.648039283789518;0.471659476946881;"target~ embeddings_sum + tfidf + penality.rowsums + common_word_proportion"
"110";0.648039283789518;0.471659476946881;"target~ embeddings_sum + tfidf + penality.rowsums + uncommon_word_proportion"
"111";0.502502160405942;0.808792230733451;"target~ embeddings_sum + tfidf + penality.rowsums + antonym"
"112";0.656048456487929;0.452386506816482;"target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion"
"113";0.656048456487928;0.452386506816483;"target~ embeddings_sum + tfidf + ngram_proportion + uncommon_word_proportion"
"114";0.567601295827224;0.608857359634751;"target~ embeddings_sum + tfidf + ngram_proportion + antonym"
"115";0.653533662461053;0.463967925255988;"target~ embeddings_sum + tfidf + common_word_proportion + uncommon_word_proportion"
"116";0.652940407717916;0.464150568107282;"target~ embeddings_sum + tfidf + common_word_proportion + antonym"
"117";0.652940407717916;0.464150568107281;"target~ embeddings_sum + tfidf + uncommon_word_proportion + antonym"
"118";0.630320570858917;0.461119502927224;"target~ embeddings_sum + penality.rowsums + ngram_proportion + common_word_proportion"
"119";0.630320570858916;0.461119502927225;"target~ embeddings_sum + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"120";0.517700278543653;0.572206074749739;"target~ embeddings_sum + penality.rowsums + ngram_proportion + antonym"
"121";0.618120067522226;0.471549531262171;"target~ embeddings_sum + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"122";0.615839538091117;0.47367112343548;"target~ embeddings_sum + penality.rowsums + common_word_proportion + antonym"
"123";0.615839538091117;0.47367112343548;"target~ embeddings_sum + penality.rowsums + uncommon_word_proportion + antonym"
"124";0.639125716144783;0.452429784750643;"target~ embeddings_sum + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"125";0.641266054114661;0.450976067423555;"target~ embeddings_sum + ngram_proportion + common_word_proportion + antonym"
"126";0.641266054114661;0.450976067423555;"target~ embeddings_sum + ngram_proportion + uncommon_word_proportion + antonym"
"127";0.627717010989257;0.463440920333397;"target~ embeddings_sum + common_word_proportion + uncommon_word_proportion + antonym"
"128";0.560905113147637;0.621374112290176;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion"
"129";0.647746581735703;0.472833400781907;"target~ embeddings_pca + tfidf + penality.rowsums + common_word_proportion"
"130";0.647746581735703;0.472833400781907;"target~ embeddings_pca + tfidf + penality.rowsums + uncommon_word_proportion"
"131";0.490090235431403;0.801497643062927;"target~ embeddings_pca + tfidf + penality.rowsums + antonym"
"132";0.648991064975472;0.445156172876742;"target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion"
"133";0.648991064975472;0.445156172876742;"target~ embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion"
"134";0.558628552259435;0.55501435594087;"target~ embeddings_pca + tfidf + ngram_proportion + antonym"
"135";0.63895972958201;0.454882724862571;"target~ embeddings_pca + tfidf + common_word_proportion + uncommon_word_proportion"
"136";0.636573642726636;0.457769283768955;"target~ embeddings_pca + tfidf + common_word_proportion + antonym"
"137";0.636573642726636;0.457769283768956;"target~ embeddings_pca + tfidf + uncommon_word_proportion + antonym"
"138";0.632609949653278;0.460519384085762;"target~ embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion"
"139";0.632609949653278;0.460519384085762;"target~ embeddings_pca + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"140";0.528690390052331;0.573236873904122;"target~ embeddings_pca + penality.rowsums + ngram_proportion + antonym"
"141";0.623315283595883;0.469444456882052;"target~ embeddings_pca + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"142";0.623693195060704;0.468762249555564;"target~ embeddings_pca + penality.rowsums + common_word_proportion + antonym"
"143";0.623693195060704;0.468762249555565;"target~ embeddings_pca + penality.rowsums + uncommon_word_proportion + antonym"
"144";0.642466129457388;0.457650005191958;"target~ embeddings_pca + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"145";0.641122167126015;0.458236132883969;"target~ embeddings_pca + ngram_proportion + common_word_proportion + antonym"
"146";0.641122167126015;0.458236132883968;"target~ embeddings_pca + ngram_proportion + uncommon_word_proportion + antonym"
"147";0.621581217380836;0.478868090125763;"target~ embeddings_pca + common_word_proportion + uncommon_word_proportion + antonym"
"148";0.655994605493645;0.452755012825178;"target~ tfidf + penality.rowsums + ngram_proportion + common_word_proportion"
"149";0.655994605493645;0.452755012825178;"target~ tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"150";0.567611023527977;0.609569169879901;"target~ tfidf + penality.rowsums + ngram_proportion + antonym"
"151";0.653502171678531;0.464431904535344;"target~ tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"152";0.652917095204808;0.464571055371973;"target~ tfidf + penality.rowsums + common_word_proportion + antonym"
"153";0.652917095204808;0.464571055371974;"target~ tfidf + penality.rowsums + uncommon_word_proportion + antonym"
"154";0.649165918423207;0.447018939515772;"target~ tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"155";0.649370441028136;0.446533311019648;"target~ tfidf + ngram_proportion + common_word_proportion + antonym"
"156";0.649370441028136;0.446533311019648;"target~ tfidf + ngram_proportion + uncommon_word_proportion + antonym"
"157";0.637426199197257;0.4578994488301;"target~ tfidf + common_word_proportion + uncommon_word_proportion + antonym"
"158";0.639033709750547;0.45253835953174;"target~ penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"159";0.641207894748796;0.451068396412861;"target~ penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"160";0.641207894748796;0.451068396412861;"target~ penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"161";0.627640046880259;0.463513732988762;"target~ penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"162";0.640268168220267;0.472983118480472;"target~ ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"163";0.560166720954746;0.625343612476883;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion"
"164";0.644323460834682;0.477292749025688;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + common_word_proportion"
"165";0.644323460834683;0.477292749025687;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + uncommon_word_proportion"
"166";0.494945731044968;0.79827748817966;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + antonym"
"167";0.651426967044804;0.460063520695971;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + common_word_proportion"
"168";0.651426967044804;0.460063520695971;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion"
"169";0.560571788656585;0.618542252587837;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + antonym"
"170";0.649749333320507;0.467100491110729;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion + uncommon_word_proportion"
"171";0.648450822628239;0.470168487628658;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion + antonym"
"172";0.648450822628238;0.470168487628659;"target~ embeddings_sum + embeddings_pca + tfidf + uncommon_word_proportion + antonym"
"173";0.62482244116759;0.468049353061381;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion"
"174";0.62482244116759;0.468049353061381;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"175";0.519313805734192;0.582008271844576;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + antonym"
"176";0.615430414485437;0.477118463943255;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"177";0.612917832643531;0.479562362822399;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion + antonym"
"178";0.61291783264353;0.479562362822399;"target~ embeddings_sum + embeddings_pca + penality.rowsums + uncommon_word_proportion + antonym"
"179";0.63165192888429;0.461462936268783;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"180";0.635507594157033;0.457064301967908;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion + antonym"
"181";0.635507594157034;0.457064301967908;"target~ embeddings_sum + embeddings_pca + ngram_proportion + uncommon_word_proportion + antonym"
"182";0.624433830067007;0.468019855018663;"target~ embeddings_sum + embeddings_pca + common_word_proportion + uncommon_word_proportion + antonym"
