cor,cor;mse,1;normalizacao;description;Classificador;Sinonimos + delaf;Hiponimos;Hiperonimos;Hiponimos + Hiperonimos;Média WE
-0,199016202;41.440.589.221.178;Não;target~ embeddings_sum + embeddings_pca + tfidf + penality,rowsums + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
-0,199016202;414.405.892.211.714;Não;target~ embeddings_sum + embeddings_pca + tfidf + penality,rowsums + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
-0,199067794;369.501.529.648.305;Não;target~ embeddings_sum + embeddings_pca + tfidf + penality,rowsums + antonym;GLM;Sim;Não;Não;Não;Sim
0,651701637;0,453439693;Não;target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,651701637;0,453439693;Não;target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,55064947;0,615954488;Não;target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,646946679;0,467582168;Não;target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,646638686;0,467876677;Não;target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,646638686;0,467876677;Não;target~ embeddings_sum + embeddings_pca + tfidf + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199517556;390.293.496.547.555;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + ngram_proportion + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,199517556;390.293.496.547.566;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + ngram_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,199293173;107.123.207.102.248;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + ngram_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199431383;61.217.557.073.311;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,199431168;612.354.006.900.381;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199431168;612.354.006.900.413;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,637363211;0,454121362;Não;target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,637248933;0,454216674;Não;target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,637248933;0,454216674;Não;target~ embeddings_sum + embeddings_pca + ngram_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,621493066;0,468839747;Não;target~ embeddings_sum + embeddings_pca + common_word_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
-0,199022849;492.881.408.314.503;Não;target~ embeddings_sum + tfidf + penality,rowsums + ngram_proportion + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
-0,199022849;492.881.408.314.432;Não;target~ embeddings_sum + tfidf + penality,rowsums + ngram_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
-0,199064205;619.110.361.434.905;Não;target~ embeddings_sum + tfidf + penality,rowsums + ngram_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
-0,199013648;396.187.270.932.782;Não;target~ embeddings_sum + tfidf + penality,rowsums + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
-0,199013341;393.755.374.780.536;Não;target~ embeddings_sum + tfidf + penality,rowsums + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
-0,199013341;393.755.374.780.497;Não;target~ embeddings_sum + tfidf + penality,rowsums + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,653901767;0,453550906;Não;target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,65368283;0,453764354;Não;target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,65368283;0,453764354;Não;target~ embeddings_sum + tfidf + ngram_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,64900199;0,468769566;Não;target~ embeddings_sum + tfidf + common_word_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199509647;406.497.065.813.776;Não;target~ embeddings_sum + penality,rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
